NOME,LAT,LON,ENDERECO,BAIRRO,CEP,TIPO
ESF NOVO HORIZONTE,-27.2333315,-52.0484409,RUA GUILHERME MUNARETTO,LOTEAMENTO NOVO HORI,89705218,ESF
ESF GUILHERME REICH II,-27.2461031,-52.0202689,RUA VITORIA,GUILHERME REICH,89709172,ESF
ESF SALETE,-27.2167556,-52.015262,RUA JOAO ZANARDI,NOSSA SENHORA DA SAL,89700396,ESF
PS PRESIDENTE KENNEDY,-27.2483118,-52.1186013,PRESIDENTE KENNEDY,CENTRO,89725000,PS
PS SANTA CRUZ,-27.2249988,-52.0350825,RUA CLOVIS CESAR DE OLIVEIRA,SANTA CRUZ,89703142,PS
PS ENGENHO VELHO,-27.234114,-52.201091,ENGENHO VELHO,CENTRO,89720000,PS
PS RANCHO GRANDE,-27.3380429,-51.967781,RANCHO GRANDE,RANCHO GRANDE,89715899,PS
PS TRES DE OUTUBRO,-27.1243386,-51.9846434,TRES DE OUTUBRO,INTERIOR,89715899,PS
ESF VILA JACOB BIEZUS,-27.2441391,-51.9539252,RUA ANDORINHAS,JACOB BIEZUS,89712232,ESF
ESF GUILHERME REICH,-27.2466631,-52.0200085,RUA VITORIA,GUILHERME REICH,89709172,ESF
ESF JARDIM EUROPA,-27.22889383,-52.00150967,RUA ALEXANDRE LORENZET,PARQUE DE EXPOSICOES,89711226,ESF
ESF SAO CRISTOVAO,-27.2304667,-51.9864312,RUA MAURO MATIOLLO,SAO CRISTOVAO,89711508,ESF
ESF INDUSTRIARIOS,-27.2349951,-52.0405281,OTTO TRAMONTINI,INDUSTRIARIOS,89705070,ESF
PS JARDIM,-27.21589969,-52.02835321,RUA LEONIDAS FAVERO,JARDIM,89703024,PS
ESF NACOES,-27.2441305,-52.032473,RUA BOLIVIA,NACOES,89708184,ESF
PS BARRA BONITA,-27.2657536,-51.9119779,BARRA BONITA,INTERIOR,89715899,PS
ESF CRISTAL,-27.2425278,-52.0509926,RUA PEDRO RUBINI,CRISTAL,89707148,ESF
ESF VISTA ALEGRE,-27.2247233,-52.0253905,MARIO DALFOVO,VISTA ALEGRE,89701044,ESF
PS BARRA DO TIGRE,-27.2874049,-51.8702276,BARRA DO TIGRE,INTERIOR,89700995,PS
PS SAO LUIS,-27.3267388,-52.0593599,SAO LUIZ,CENTRO,89715899,PS
PS SEDE BRUM,-27.2867648,-52.0869413,SEDE BRUM,CENTRO,89715899,PS
PS TAMANDUA,-27.3025472,-51.9976974,TAMANDUA,INTERIOR,89700991,PS
PS CACHIMBO,-27.1803634,-51.9189932,CACHIMBO,INTERIOR,89715899,PS
PS TIRADENTES,-27.2392716,-51.8853275,TIRADENTES,CENTRO,89715899,PS
PS TERRA VERMELHA,-27.2946786,-52.2271415,TERRA VERMELHA,CENTRO,89715899,PS
ESF PLANALTO,-27.23406435,-52.0283103,CORONEL PASSOS MAIA,PLANALTO,89715899,ESF
PS SAO PAULO,-27.1250133,-52.3727026,SAO PAULO,CENTRO,89715899,PS
ESF SANTO ANTONIO,-27.19669192,-52.10673809,DISTRITO SANTO ANTONIO,CENTRO,89700990,ESF
ESF NAZARE,-27.2352949,-52.0353003,RUA VEREADOR JACOB SELBACH,NAZARE,89707006,ESF
ESF ESTADOS,-27.2552449,-52.502155,RUA RIO GRANDE DO SUL,ESTADOS,89703488,ESF
ESF PETROPOLIS,-27.22332237,-52.04730034,RUA DAS ERVEIRAS,PETROPOLIS,89703288,ESF
CENTRO DE SAUDE BASICA CONCORDIA,-27.22908463,-52.00110197,RUA ALEXANDRE LORENZET,PARQUE DE EXPOSICAO,89711226,PS
