============================================================
ANÁLISE DOS POSTOS PÚBLICOS DE SAÚDE - CONCÓRDIA
============================================================
Total de unidades públicas mapeadas: 98

Distância média do centro: 3.97 km
Posto mais próximo: 0.03 km
Posto mais distante: 47.35 km
Postos dentro de 5km do centro: 78/98

Distribuição por tipo de unidade:
Tipo 22: 27 unidades
Tipo 2: 20 unidades
Tipo 39: 17 unidades
Tipo 1: 15 unidades
Tipo 42: 3 unidades
Tipo 36: 3 unidades
Tipo 43: 2 unidades
Tipo 4: 2 unidades
Tipo 84: 2 unidades
Tipo 5: 2 unidades
Tipo 81: 1 unidades
Tipo 71: 1 unidades
Tipo 68: 1 unidades
Tipo 40: 1 unidades
Tipo 70: 1 unidades

LISTA COMPLETA DOS POSTOS PÚBLICOS:
 1. JCC PSICOLOGIA E CONSULTORIA LTDA | CENTRO | 0.3 km | Tipo: 22
 2. BOMBEIROS VOLUNTARIOS | CENTRO | 0.8 km | Tipo: 42
 3. ESF NOVO HORIZONTE | LOTEAMENTO NOVO HORI | 2.4 km | Tipo: 2
 4. FARMACIA MUNICIPAL | CENTRO | 0.6 km | Tipo: 43
 5. CIS AMAUC | CENTRO | 0.6 km | Tipo: 4
 6. CLINICA PSICOLOGICA CONCORDIA LTDA | CENTRO | 0.5 km | Tipo: 22
 7. PROZAHN LABORATORIO DE PROTESE DENTARIA LTDA | CENTRO | 0.7 km | Tipo: 39
 8. SINDICATO DOS SERVIDORES MUNICIPAIS DE CONCORDIA | CENTRO | 0.4 km | Tipo: 22
 9. SENTIR SE CLINICA PSICOLOGICA | CENTRO | 0.7 km | Tipo: 22
10. PHYSIUS GLOBAL | CENTRO | 0.5 km | Tipo: 39
11. CENTRAL DE REGULACAO MUNICIPAL AMBULATORIAL CONCORDIA | CENTRO | 0.6 km | Tipo: 81
12. CLINICA DE PSICOLOGIA PSICOVITAL LTDA | CENTRO | 0.3 km | Tipo: 22
13. SINDICATO DOS PRODUTORES RURAIS DE CONCORDIA | CENTRO | 0.7 km | Tipo: 22
14. ESF GUILHERME REICH II | GUILHERME REICH | 1.4 km | Tipo: 2
15. PLANTAO PSICOLOGICO | CENTRO | 0.3 km | Tipo: 22
16. ETC LABORATORIO DE PROTESE DENTARIA LTDA ME | CENTRO | 0.4 km | Tipo: 39
17. ANALIC | CENTRO | 0.7 km | Tipo: 39
18. CONSULTORIO DE PSICANALISE PSICOLOGIA | CENTRO | 0.6 km | Tipo: 22
19. ESF SALETE | NOSSA SENHORA DA SAL | 2.0 km | Tipo: 2
20. PS PRESIDENTE KENNEDY | CENTRO | 9.5 km | Tipo: 1
21. PS SANTA CRUZ | SANTA CRUZ | 1.5 km | Tipo: 1
22. ODONTO LABOR LTDA | CENTRO | 0.2 km | Tipo: 39
23. PS ENGENHO VELHO | CENTRO | 17.5 km | Tipo: 1
24. PS RANCHO GRANDE | RANCHO GRANDE | 12.9 km | Tipo: 1
25. PS TRES DE OUTUBRO | INTERIOR | 12.7 km | Tipo: 1
26. CONSULTORIO DE PSICOLOGIA | CENTRO | 20.9 km | Tipo: 22
27. ESF VILA JACOB BIEZUS | JACOB BIEZUS | 7.0 km | Tipo: 2
28. ESF GUILHERME REICH | GUILHERME REICH | 1.5 km | Tipo: 2
29. ESF JARDIM EUROPA | PARQUE DE EXPOSICOES | 2.3 km | Tipo: 2
30. PSICOMED SERVICOS DA SAUDE SS LTDA ME | CENTRO | 0.5 km | Tipo: 22
31. MENEGAT SERVICOS PSICOLOGICOS LTDA | NOSSA SENHORA DA SAL | 1.7 km | Tipo: 22
